State,State Code,Year,Year Code,Gender,Gender Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
Alabama,1,2012,2012,Female,F,"Cardiac arrest, unspecified",I46.9,12,313628,Unreliable
Alabama,1,2012,2012,Female,F,Other ill-defined and unspecified causes of mortality,R99,19,313628,Unreliable
Alabama,1,2012,2012,Female,F,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,24,313628,7.7
Alabama,1,2012,2012,Female,F,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,10,313628,Unreliable
Alabama,1,2012,2012,Female,F,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,31,313628,9.9
Alabama,1,2012,2012,Female,F,Assault by other and unspecified firearm discharge,X95,11,313628,Unreliable
Alabama,1,2012,2012,Male,M,"Mental and behavioural disorders due to use of opioids, harmful use",F11.1,11,304129,Unreliable
Alabama,1,2012,2012,Male,M,"Cardiac arrest, unspecified",I46.9,19,304129,Unreliable
Alabama,1,2012,2012,Male,M,Other ill-defined and unspecified causes of mortality,R99,27,304129,8.9
Alabama,1,2012,2012,Male,M,Person injured in collision between other specified motor vehicles (traffic),V87.7,10,304129,Unreliable
Alabama,1,2012,2012,Male,M,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,49,304129,16.1
Alabama,1,2012,2012,Male,M,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,23,304129,7.6
Alabama,1,2012,2012,Male,M,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,52,304129,17.1
Alabama,1,2012,2012,Male,M,"Intentional self-harm by hanging, strangulation and suffocation",X70,30,304129,9.9
Alabama,1,2012,2012,Male,M,Intentional self-harm by other and unspecified firearm discharge,X74,43,304129,14.1
Alabama,1,2012,2012,Male,M,Assault by other and unspecified firearm discharge,X95,66,304129,21.7
Alaska,2,2012,2012,Male,M,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,58634,Unreliable
Arizona,4,2012,2012,Female,F,"Breast, unspecified - Malignant neoplasms",C50.9,10,426695,Unreliable
Arizona,4,2012,2012,Female,F,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,22,426695,5.2
Arizona,4,2012,2012,Female,F,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,20,426695,4.7
Arizona,4,2012,2012,Female,F,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,28,426695,6.6
Arizona,4,2012,2012,Female,F,"Intentional self-harm by hanging, strangulation and suffocation",X70,20,426695,4.7
Arizona,4,2012,2012,Female,F,Assault by other and unspecified firearm discharge,X95,17,426695,Unreliable
Arizona,4,2012,2012,Male,M,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,44,451136,9.8
