Census Region,Census Region Code,Year,Year Code,ICD Chapter,ICD Chapter Code,Deaths,Population,Crude Rate
Census Region 1: Northeast,CENS-R1,1999,1999,Certain infectious and parasitic diseases,A00-B99,15287,53343775,28.7
Census Region 1: Northeast,CENS-R1,1999,1999,Neoplasms,C00-D48,119170,53343775,223.4
Census Region 1: Northeast,CENS-R1,1999,1999,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,1932,53343775,3.6
Census Region 1: Northeast,CENS-R1,1999,1999,"Endocrine, nutritional and metabolic diseases",E00-E88,17981,53343775,33.7
Census Region 1: Northeast,CENS-R1,1999,1999,Mental and behavioural disorders,F01-F99,7574,53343775,14.2
Census Region 1: Northeast,CENS-R1,1999,1999,Diseases of the nervous system,G00-G98,14678,53343775,27.5
Census Region 1: Northeast,CENS-R1,1999,1999,Diseases of the ear and mastoid process,H60-H93,15,53343775,0.0 (Unreliable)
Census Region 1: Northeast,CENS-R1,1999,1999,Diseases of the circulatory system,I00-I99,200208,53343775,375.3
Census Region 1: Northeast,CENS-R1,1999,1999,Diseases of the respiratory system,J00-J98,46254,53343775,86.7
Census Region 1: Northeast,CENS-R1,1999,1999,Diseases of the digestive system,K00-K92,16276,53343775,30.5
Census Region 1: Northeast,CENS-R1,1999,1999,Diseases of the skin and subcutaneous tissue,L00-L98,726,53343775,1.4
Census Region 1: Northeast,CENS-R1,1999,1999,Diseases of the musculoskeletal system and connective tissue,M00-M99,2319,53343775,4.3
Census Region 1: Northeast,CENS-R1,1999,1999,Diseases of the genitourinary system,N00-N98,11594,53343775,21.7
Census Region 1: Northeast,CENS-R1,1999,1999,"Pregnancy, childbirth and the puerperium",O00-O99,61,53343775,0.1
Census Region 1: Northeast,CENS-R1,1999,1999,Certain conditions originating in the perinatal period,P00-P96,2536,53343775,4.8
Census Region 1: Northeast,CENS-R1,1999,1999,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,1580,53343775,3
Census Region 1: Northeast,CENS-R1,1999,1999,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,4600,53343775,8.6
Census Region 1: Northeast,CENS-R1,1999,1999,External causes of morbidity and mortality,V01-Y89,23177,53343775,43.4
Census Region 1: Northeast,CENS-R1,2000,2000,Certain infectious and parasitic diseases,A00-B99,14989,53594378,28
Census Region 1: Northeast,CENS-R1,2000,2000,Neoplasms,C00-D48,118697,53594378,221.5
Census Region 1: Northeast,CENS-R1,2000,2000,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2030,53594378,3.8
Census Region 1: Northeast,CENS-R1,2000,2000,"Endocrine, nutritional and metabolic diseases",E00-E88,18329,53594378,34.2
Census Region 1: Northeast,CENS-R1,2000,2000,Mental and behavioural disorders,F01-F99,8309,53594378,15.5
Census Region 1: Northeast,CENS-R1,2000,2000,Diseases of the nervous system,G00-G98,16379,53594378,30.6
Census Region 1: Northeast,CENS-R1,2000,2000,Diseases of the circulatory system,I00-I99,198287,53594378,370
Census Region 1: Northeast,CENS-R1,2000,2000,Diseases of the respiratory system,J00-J98,46407,53594378,86.6
Census Region 1: Northeast,CENS-R1,2000,2000,Diseases of the digestive system,K00-K92,16293,53594378,30.4
Census Region 1: Northeast,CENS-R1,2000,2000,Diseases of the skin and subcutaneous tissue,L00-L98,767,53594378,1.4
Census Region 1: Northeast,CENS-R1,2000,2000,Diseases of the musculoskeletal system and connective tissue,M00-M99,2305,53594378,4.3
Census Region 1: Northeast,CENS-R1,2000,2000,Diseases of the genitourinary system,N00-N98,12049,53594378,22.5
Census Region 1: Northeast,CENS-R1,2000,2000,"Pregnancy, childbirth and the puerperium",O00-O99,53,53594378,0.1
Census Region 1: Northeast,CENS-R1,2000,2000,Certain conditions originating in the perinatal period,P00-P96,2429,53594378,4.5
Census Region 1: Northeast,CENS-R1,2000,2000,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,1630,53594378,3
Census Region 1: Northeast,CENS-R1,2000,2000,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,6091,53594378,11.4
Census Region 1: Northeast,CENS-R1,2000,2000,External causes of morbidity and mortality,V01-Y89,22772,53594378,42.5
Census Region 1: Northeast,CENS-R1,2001,2001,Certain infectious and parasitic diseases,A00-B99,15201,53915522,28.2
Census Region 1: Northeast,CENS-R1,2001,2001,Neoplasms,C00-D48,117908,53915522,218.7
Census Region 1: Northeast,CENS-R1,2001,2001,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2005,53915522,3.7
Census Region 1: Northeast,CENS-R1,2001,2001,"Endocrine, nutritional and metabolic diseases",E00-E88,18466,53915522,34.2
Census Region 1: Northeast,CENS-R1,2001,2001,Mental and behavioural disorders,F01-F99,9587,53915522,17.8
Census Region 1: Northeast,CENS-R1,2001,2001,Diseases of the nervous system,G00-G98,17229,53915522,32
Census Region 1: Northeast,CENS-R1,2001,2001,Diseases of the ear and mastoid process,H60-H93,11,53915522,0.0 (Unreliable)
Census Region 1: Northeast,CENS-R1,2001,2001,Diseases of the circulatory system,I00-I99,193616,53915522,359.1
Census Region 1: Northeast,CENS-R1,2001,2001,Diseases of the respiratory system,J00-J98,45088,53915522,83.6
Census Region 1: Northeast,CENS-R1,2001,2001,Diseases of the digestive system,K00-K92,16703,53915522,31
Census Region 1: Northeast,CENS-R1,2001,2001,Diseases of the skin and subcutaneous tissue,L00-L98,811,53915522,1.5
Census Region 1: Northeast,CENS-R1,2001,2001,Diseases of the musculoskeletal system and connective tissue,M00-M99,2453,53915522,4.5
Census Region 1: Northeast,CENS-R1,2001,2001,Diseases of the genitourinary system,N00-N98,12336,53915522,22.9
Census Region 1: Northeast,CENS-R1,2001,2001,"Pregnancy, childbirth and the puerperium",O00-O99,72,53915522,0.1
Census Region 1: Northeast,CENS-R1,2001,2001,Certain conditions originating in the perinatal period,P00-P96,2364,53915522,4.4
Census Region 1: Northeast,CENS-R1,2001,2001,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,1534,53915522,2.8
Census Region 1: Northeast,CENS-R1,2001,2001,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,5288,53915522,9.8
Census Region 1: Northeast,CENS-R1,2001,2001,Codes for special purposes,U00-U99,2669,53915522,5
Census Region 1: Northeast,CENS-R1,2001,2001,External causes of morbidity and mortality,V01-Y89,24371,53915522,45.2
Census Region 1: Northeast,CENS-R1,2002,2002,Certain infectious and parasitic diseases,A00-B99,15426,54143915,28.5
Census Region 1: Northeast,CENS-R1,2002,2002,Neoplasms,C00-D48,117578,54143915,217.2
Census Region 1: Northeast,CENS-R1,2002,2002,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2057,54143915,3.8
Census Region 1: Northeast,CENS-R1,2002,2002,"Endocrine, nutritional and metabolic diseases",E00-E88,18451,54143915,34.1
